,Is Inappropriate,Message
260,1,mind age swiped daddy
261,1,choke naked booty
262,0,fine thank
263,0,nice probably dated
264,0,thank much also cute
265,0,hiii
266,1,want feel lip
267,0,today
268,0,would want go back
269,0,brazil
270,0,sound fun live provo normally home ca
271,1,think remembering unmatched say looking hookup first thing mention eating girl
272,0,oh wow actually work air force base must go church different ward
273,0,ok good luck
274,0,willing
275,1,stupid
276,1,would like go bed
277,0,sexy
278,1,sound rude
279,0,learn spanish come chile
280,0,yes swam played water polo 4 year loved need go swimming often though
281,1,like draw like traveling adventure naked going eat playing sport watching sport
282,1,bad wish kissing
283,1,tie
284,1,see dirty girl
285,1,good job mean said as bounce lol
286,0,well got work tomorrow
287,0,okinawa family native islander ethnic japanese mix
288,0,yet
289,1,wearing babe
290,0,cute nice old
291,0,uf q
292,1,said fuck trump
293,0,yaaa handle
294,0,u got away breaking rule ur saying
295,0,want
296,1,boob
297,0,last name
298,1,massage love em
299,0,come look tattoo
300,0,never married favorite aunt etc know sooo much kinda stuff
301,1,let sex
302,1,simp
303,1,trying nice physical talk
304,1,kissing softly passionately biting gently side neck
305,1,wanna make
306,1,feeling anything feeling wet
307,1,letting tongue get wrapped around tongue
308,1,would wanna honest would probably kiss come give gas money like 200
309,1,jk fuck racist incoherent misogynist
310,0,much right haha
311,1,sex
312,0,far got
313,0,cual e el apellido de ellos
314,0,need get know first give instagram
315,0,turn ask next question
316,0,want know schuyler might joke joke
317,0,alive curitiba
318,1,open sexuality within relationship btw
319,1,like getting choked
320,1,definitely lazy naughty saturday
321,1,hey pretty damn cute honest eye
322,0,creo
323,1,well scorpio mean pretty passionate lover
324,1,get dumb shit
325,1,8
326,1,know morning wood right
327,0,really
328,1,good laying bed wishing u next
329,1,want see brown skin pretty eye nice lip nice leg cleavage
330,0,commute day
331,0,yup
332,0,oh okay sorry offended
333,0,low key
334,0,yeah bleh
335,1,intelligent capable great friend loyal better conversation deserve respect conversation may horny give free pas gross get actually know woman like mind rather thigh
336,0,bare
337,0,first convo like
338,0,high quality content
339,0,named
340,0,nice dear
341,1,r u flat
342,1,stuff
343,0,charted many charted know
344,0,literally weird
345,0,tight yoga pant
346,1,ahh dang suck already wanna make ton boy
347,0,u message
348,0,ok remake kik account lol
349,1,hot see picture
350,0,plan grilling catch tuna steak ready fail
351,0,sometimes local okinawans speak english look like full japanese
352,1,w tongue
353,0,haha yeah um sure jurassic park amazing star war fun pirate caribbean marvel movie
354,0,ask money
355,1,need lip
356,1,well judging hardcore lmao wouldnt actually stupidest thing ever heard
357,0,really know see
358,0,sure would since went everyone awkward
359,0,good one
360,1,hahaha good honestly thaaat far mean top stuff looot making bit grinding lol
361,0,hey totally new full disclosure fully divorced yet really looking anything right wanting meet new people get know friend tell little
362,0,fine
363,0,gif l4kiehuv7q1yvlpqi gif mutual support gifs please update newest version mutual http media1 giphy com medium l4kiehuv7q1yvlpqi 200w gif cid cecbee37e02565d106e3174e2d030a0dff0d934e9fafa03a rid 200w gif
364,0,yeah wbu
365,1,jerk want sex married told knew much sex like
366,1,really wearing clothes
367,0,want man
368,1,let put baby
369,1,k p fun
370,1,yes good mommy
371,0,thank
372,1,like sex
373,0,expect get pissed
374,0,tell going answer
375,1,open sexuality within relationship
376,1,trying stay wit responding dumb statement dumb statement
377,0,want call babe
378,1,lmfao might
379,1,love pooping
380,1,tryna send cooch nah
381,1,kinky
382,1,mean sure ridiculously hot telling put clothes back
383,0,late u
384,1,kissed neck maybe licked ear little
385,0,yeah forgot
386,0,wanna paint write letter ended taking nap
387,0,nothing lol wbu
388,1,think atrocious
389,0,member
390,0,oh gosh
391,1,awwww want cuddle
392,1,cute enough suck dick
393,0,going say usual monday going great far something like since honest pretty much need thing one friend hugged yesterday realized first hug probably 6 week
394,0,love mourning
395,0,day
396,1,haha girl thin lip notice lip sorry weird
397,0,haha seems like might going lil crazy jk
398,0,regret anything
399,0,anything adam sandler guy hilarious lol
400,0,tu qué te dedicas
401,1,lemme lickyadickya
402,1,compare boob fruit would
403,0,soy de angol soy de valparaíso
404,0,online boyfriend super weird creepy smart
405,1,least fat like ugly as self
406,1,could ask sex whenever want
407,0,mmmm en serio
408,1,u like fucked totally lied face lol
409,1,want honest open cheating
410,1,give footrub
411,0,wow
412,0,funny
413,0,gif 127jehzl15prii gif mutual support gifs please update newest version mutual http media1 giphy com medium 127jehzl15prii 200w gif cid cecbee37fa3f58d6814cae22e3725e0c8c28bdf0a1804cab rid 200w gif
414,0,back
415,1,tongue circle
416,1,hey milf
417,1,think would hard refrain stroking cock
418,0,haha oh bad stop flirting
419,0,put floral spandex right
420,0,awesome well welcome colorado usa lol super single lol never married kid
421,1,sex huge part love
422,1,wanna know big dick
423,1,kiss forehead
424,0,ahhh por qué sale que eres de angol
425,0,oh nice
426,0,haha seems like
427,0,detroit working summer never
428,1,grinder
429,0,logan
430,0,still
431,0,cause lds person talk someone like thank thob
432,1,fun mean making crazy dirty talking date etc
433,0,oh yeah definitely
434,1,mmm start sloppy
435,1,would u dtf rn got 8 incher mouth like get sore dry foreplay
436,0,haha actually london right
437,0,luv accountability
438,1,minute open front door lip right first step
439,1,u favor get app decide grow job taking class living mommy daddy lmao woman think ghosting solution problem problem obviously still selfish little girl stick coloring book lego watching movie day lazy deserve respect
440,0,well guess laying
441,1,nice lip
442,1,wow little kinky lds dating app lol
443,0,see soon
444,0,good thank
445,1,need make feel good right place
446,0,scared
447,0,haha t okay live good enough pay
448,0,couch
449,1,cuddle kiss mood
450,1,tell sexual secret
451,0,special
452,1,hmm going drive find spot lot kissing
453,0,mean assume husband looked dandy like walk store front car sitting
454,0,great good know laugh
455,0,also ask bank name refuse
456,0,wow way rude
457,1,grow polygamist family
458,1,grandpa always told thing ugly bj
459,0,snapchat video chat
460,0,reading book mormon
461,0,probably spot decent man right front hope future daughter never meet man like meet man like trump
462,0,gunna hard lol
463,1,want pointy stick
464,1,really like smile lip look sensual
465,0,come swinging hard
466,0,miss working
467,1,honestly told sister going terrible dating world back regular single could carefree worked worked want know heavy upfront glad willing talk sex life good either candid say initiate terribly embarrassing way initiating anything grabbing cuddle night rubbing leg kind thing every awhile try bold wear lingerie still embarrassing rarely initiated tough granted either open insecurity cue probably tougher like cuddle close throughout day crazy touchy feely fact hugger end day would love cuddle hold behind second sort thing anyhow definitely life busy mom work find time pretty active
468,0,hey
469,0,yeah happens sometimes
470,0,hows day
471,0,last chapter read
472,0,matter hard try
473,0,think
474,0,k
475,1,hahah heck mean maybe moved actually contributed conversation besides word embarrassing
476,1,tongue playing tongue
477,1,definitely give lot kiss around neck
478,0,haha true lol
479,1,wanna sex
480,1,good would want hook
481,1,seem misinformed well refusal learn educate racism society make feel like nice boy really hope open eye see past privilege happy answer question ready actually learn ignore argue everything saying
482,0,think cute
483,0,dont want
484,0,watching movie
485,1,well cute lip want kiss
486,1,laying lip ncmo
487,0,day 1
488,0,hey gurl
489,0,bank
490,1,bed naked morning
491,1,fat white racist nasty nasty trump supporter
492,0,sound like little tempted nah jk san diego temple
493,1,way fat
494,0,gotta genius
495,0,utah homies r
496,0,brought utah
497,0,also seeking long term relationship need serious woman rest life really sure serious woman hope one tho gonna happy one looking
498,0,oooo
499,1,yeah tinder ncmos
500,1,like fr text start shit back
501,0,gif 3m4npblctxbqu gif mutual support gifs please update newest version mutual http media3 giphy com medium 3m4npblctxbqu 200w gif cid cecbee37b2a483e5c7ef2bb7c58ede47ce85d8c864661d86 rid 200w gif
502,0,good enough
503,0,lol well know
504,0,chat many people right
505,1,bad mind cuddling cutie like right quarantine
506,1,wait lol meant talking making lol idk went lol
507,1,usado usa tanga
508,0,admit red flag
509,1,mean kinda turn
510,0,good morning
511,0,nice
512,0,lo tomado así
513,0,touching
514,1,daddy
515,0,well seeing offer something blossom
516,0,look like fun introvert know lol gm
517,0,kinda video call right
518,1,mad frustrated want something real another guy supposed decent care sex still single
519,0,started yet
520,1,lol worry kiss mask
521,1,yeah cause cause like like really wanna naughty
522,1,love gay make choice right god loved hitler know know love
523,0,studying chat much want thank easy eye yes think beautiful woman inside
524,1,trying rude damn kinda made feel bad appreciate understand point view agree zero reason word way rudely
525,1,sex nude would already hesitant sending nude bunch friend nude sold breakup yeah
526,0,gif uusgpkdkhxplnjgf2j gif mutual support gifs please update newest version mutual http media2 giphy com medium uusgpkdkhxplnjgf2j 200w gif cid cecbee374e1e6671223c9e66403f46083f9d57befff2ffb2 rid 200w gif
527,1,looking sex turned whole thing sex conversation
528,0,rarsrs
529,1,love play boob
530,1,care horny cunt right called cunt sir
531,1,hello fyi considered rude condescending refer female dear absolutely relationship especially done dating app please contact
532,0,eat
533,1,cpa therapist side convicted sex offender
534,1,niggguuuuur
535,0,would hope would know person spent lot time country hold doctorate degree would recognize basically culturally chin tho
536,1,anything sexual general hand bj sex
537,1,may naughty though
538,1,yes everyday
539,0,gonna accept fact dm acting like jerk responded naturally
540,1,zipper sparking
541,0,pretty busy today another day
542,0,red flag
543,1,like imagine fucking behind doggy style spanking as start bouncing
544,0,even 2 post 2014
545,0,one best food
546,0,literally done helping full time missionary missionary personal life contributed full time missionary
547,0,good
548,1,yes playing big dick
549,1,jack mormon lol
550,0,flying colorado next week help take care dad gone month interest meeting get back mind chatting till big fan digital relationship hesitate let know like get know great smile
551,0,night
552,1,wish could hug tightly dress lol
553,1,fuck
554,1,bad boiiii
555,1,okay man grab woman pussy
556,0,bad
557,1,pretty good girl lol bad side
558,0,por qué
559,0,fun searching around nice matching
560,1,wet
561,0,pero yo soy todos jajaja pues estoy en cuarentena
562,0,successful unsuccessful
563,1,racist idea nuclear family exist 1950 gospel basis important black child murdered
564,0,party think registered vote
565,0,u started
566,0,okay nice time cleaning watch movie
567,0,finished diploma business administration
568,1,tf
569,1,like hook
570,1,talking intellectually ethnicity point mute asked family philipina saying sounded dumb honestly big deal
571,0,ooo could see
572,0,pretty well although weird feeling everyone keeping distance
573,1,joking virgin player
574,0,know
575,1,sometimes hand get little wild like go place
576,0,well mid afternoon food might favor right hahaha
577,0,hi far closest person found mutual pleasure match
578,0,hey wanna talk text
579,1,never said watched porn need much sexual attention
580,1,makeee outtt least shirt lol
581,0,haha believe
582,0,okay tell
583,0,guárdeselo
584,0,yes difficult time working home
585,1,spanked kid
586,1,could sneak bra bit
587,1,basketball player big wang right
588,1,might miss idk hate low key
589,1,hahah u sleepover tho hmu
590,0,yes also want
591,0,sweet get ya go walk drive get away loud brother
592,0,weirdly spelled name
593,1,currently unemployed live home heavy addiction internet porn today
594,0,oh good sound like keeper watch anyone
595,0,studying uvu b4 mish
596,0,thank taking time day swipe message spread hate great day
597,1,ncmo
598,0,maybe work
599,0,gonna age set 23 talk trash lmao
600,1,older get smack bum
601,0,whatever u like
602,1,lol lowkey kinda turning
603,0,good morning yes mutual haha far good barely waking
604,0,ha done clean bathroom send paperwork office
605,0,thanks anyways
606,1,maybe little lick tongue
607,0,hahaha
608,0,nope
609,0,never look
610,1,rather bitten day
611,1,unless subordinate drug job
612,0,still
613,1,actually got fooled first mutual match haham photo hid image well wasnt dick though paid meal walked car opened door kissed cheek coming meet le 24 hr matching
614,1,like make work clown
615,0,bought lot food ive cooked everyday since
616,0,good haha keeper yet gaga
617,0,thankfully moving provo plenty option gotta take much help get
618,0,good ex boyfriend weird
619,1,called broooozilian booooty lol
620,0,lol
621,0,haha know think could military wife
622,0,go quarantine
623,1,want bad right
624,1,ur virgin right
625,1,fall heaven cuz feel need physical exam
626,0,need kinda pickie player
627,0,awesome
628,0,take dinner
629,1,childish try start shit
630,0,ahh always wheelchair dang sorry happened
631,1,fuck
632,0,separated 8 year
633,0,going im really hungry haha
634,1,wish could cuddling bed right
635,0,u
636,0,buffer question think better one eat one food rest life would
637,0,like ride horse go hiking draw hanging friend family go movie go walk travel new place also go temple week also like make people laugh love outdoors
638,1,like sex
639,0,like play volleyball run
640,1,legit thought gay
641,1,may may making tiny acorn sprout mighty oh kidding
642,1,would willing listen someone physical boundary
643,0,heyyyy
644,0,wow
645,1,could made lot money
646,1,fuck
647,0,minus course
648,0,seeking
649,0,sorry want play hair eye
650,0,good sleep
651,0,oh better believe
652,0,mormon
653,1,perform car like sex thing
654,0,done talking wish well
655,1,interested debating longer seem validation issue men conversation emotionally exhausting cannot stand lazy person dating site
656,0,long prank back
657,1,hahaha actually stopped likely married also want get married temple hard press find lds woman willing sex marriage app app looking lds men
658,0,mom savage
659,0,always felt like school important thing graduated college age 21 effective beneficial missionary ward personal life ward missionary could full time missionary
660,0,gif yuqi4s7rifzgfaj33e gif mutual support gifs please update newest version mutual http media3 giphy com medium yuqi4s7rifzgfaj33e 200w gif cid cecbee37d70a3a4937c84a766e7ff4ddae5f332a03000de6 rid 200w gif
661,1,prefer dirty
662,1,dress look really nice look lot better floor though
663,1,going get used uttering phrase yet
664,1,sore tired wish cuddling
665,0,say
666,0,que haces cuentame tus secretos hazme tus preguntas
667,0,lie
668,0,daily
669,1,coochie object leg
670,1,neck kiss wbu
671,0,go sacrament come follow discussion
672,1,cause humpback place hah
673,1,coochie
674,0,lo tomas así
675,1,never sex
676,1,suck dick
677,0,willing prove
678,1,would absolutely destroyed know
679,0,dam lol
680,0,good hobby
681,0,hi good
682,0,oh okay
683,0,tell
684,0,thank showing new side crazy
685,0,lowest black unemployment rate lowest hispanic unemployment rate lowest woman unemployment rate bro could go forever
686,0,employer bomb
687,0,snap text work
688,0,boom
689,0,lol boring
690,0,people keep saying
691,0,kewl
692,1,bed naked day
693,0,sorry haha end semester killing like outside literally go anything afraid try new thing go new place also like stay watch movie play video game take long learn something new know learn really quickly
694,1,took top sucking nipple slid hand yoga pant rubbing cock outside hard unzipped pant flopped spat hand started jerk
695,1,good laying bed wishing cuddle
696,0,like judgement asking liberal
697,0,ok bye
698,0,android
699,0,wanted go asu msw program
700,1,stunning want put test kiss lot common iets make magic message
701,0,thank
702,0,nice love taking shower bed
703,0,gotta put value full time mission
704,1,put
705,0,okay well
706,0,happy valentine day
707,1,tell cunt really intrigued
708,1,married sex
709,1,nigga
710,0,low
711,1,turned
712,0,partner life member someone need mother rough outside softer inside
713,0,si fuera de angol q pasaría
714,0,come across thomas
715,1,looked real also black community mission desire change kill drug
716,1,like would ok jacking watched porn bi men
717,1,wanted get wet tho confident could get
718,0,never met anything like
719,0,say pick line one time dare
720,1,moment met anyone sex
721,1,nice may please
722,0,bank
723,0,infelizmente kk porque e mal
724,1,drug come made give joined church
725,0,soy abogado asesor en un conservador notaría
726,1,yes cheek lip
727,1,besides make lol
728,1,know mormon app whatever feel hooking
729,0,nope holding hand
730,0,lie sorry listen
731,1,realize turned
732,1,worst
733,0,heyo cutie
734,1,thank making feel bonerific
735,0,movie show watching recommendation
736,0,hey
737,1,five buck number ur
738,0,well good morning
739,0,two spring christmas depends mood sunshine right white look like vampire haha tough one audi
740,1,im honest difficult come home nobody hold held drink
741,0,account app
742,0,half canadian something sort common canada canada canada
743,0,throwing shade way make friend
744,1,ask ever touched
745,0,wanna snap
746,0,truuuu
747,0,smile
748,0,different feeling
749,1,lmaooo
750,0,eye eye eye eye
751,1,like made touched private part lol
752,1,shirtless boxer
753,1,sicko
754,1,like poop
755,0,search good bad lol
756,0,really think walk people bc behind screen
757,1,wait never sex girl
758,1,wish laying next instead help
759,0,ogden area
760,1,haha possible better promise stop rubbing soon miss
761,1,oh shiiiiiiiit
762,0,woman
763,0,gif zz49tlnbljdxq gif mutual support gifs please update newest version mutual http media0 giphy com medium zz49tlnbljdxq 200w gif cid cecbee372ea3b01c56fe325ec933ab3d7493f1c8ffcae94a rid 200w gif
764,0,yeah
765,1,difficult know free spirited far ask nude
766,0,would like know
767,0,secret
768,0,sorry data died haha promise trying ignore baby
769,0,hope help
770,1,kind panty
771,1,like boob dick lol
772,0,half country girl city girl
773,0,truly blow
774,0,look familiar
775,1,tbh like making right people right touching tbh private part sorry way
776,1,well someone snuggle
777,1,want u
778,1,really really hard would like cum totally understand want pause would rather talk
779,1,wanna ask u question sex
780,0,awesome aw fun get along pretty well yeah cute girl trying find soulmate lead wild adventure basically premise every rom com ever haha
781,0,mich
782,0,whatever
783,0,mmhmm enjoy
784,0,bro done nothing throw shade since started dming
785,1,bra size
786,0,awww sweet
787,0,thank bad bit far
788,0,first two time sex rape
789,0,3 boy
790,0,nice making progress home gym found creative solution deal lady wanting meet person moment
791,1,wish cuddling right
792,1,haha u like sex
793,0,never tried act sweet
794,0,awww good haha
795,0,cuz seen heckin cuteness eye
796,0,pretty good working
797,0,yes goodbye
798,1,get unsolicited dick pic critical lack contrast poor lighting angle
799,0,like take control
800,1,would bug sexual nature
801,1,stuff physically bonus eye
802,1,member really rude uncalled get app
803,1,ok sex last
804,1,thought everybody different walk life share briefly call sensitive almost murdered two year ago anything come defensive offputting
805,1,drink
806,1,someone durf
807,0,provo vibe
808,0,call depth
809,1,yes kiss girl fighting picky
810,0,know much trew
811,1,often play self
812,1,jerk everyday
813,1,want
814,0,statement went wrong side never met disregard
815,1,lick anywhere u want
816,1,think already know wanna kiss though
817,1,slid hand ur pant
818,1,going kiss lol
819,0,would love live idaho snuggle kinda gotta closer 6 foot apart
820,1,cuddle hold
821,0,gif 11kcew8unh8rwy gif mutual support gifs please update newest version mutual http media3 giphy com medium 11kcew8unh8rwy 200w gif cid cecbee373f5bfd1a6a2ea7b759f82f761aef79a3cba558e4 rid 200w gif
822,1,foreplay reference haha like go body
823,1,suggest go see kink therapist cause lickin cute boy
824,0,bored outta mind
825,0,drinking whey protein isolate working
826,1,racist racist
827,1,threesome dude dick 3 5 inch addicted cocaine
828,0,stupid autocorrect haha
829,1,get harder
830,0,good stuff haha
831,1,want feel warmth body mine
832,0,gif 11kxpxdoebesxm gif mutual support gifs please update newest version mutual http media3 giphy com medium 11kxpxdoebesxm 200w gif cid cecbee37fa3f58d6814cae22e3725e0c8c28bdf0a1804cab rid 200w gif
833,0,answer u looking
834,1,kiss rub butt okay
835,1,shoot might pick smoking habit
836,1,naked photo oh god sound odd
837,0,rude disrespectful child like
838,1,like dayum
839,0,bank app
840,0,yeah im studying marketing byuh
841,1,imagine mouth sucking tit
842,1,laying bed lil horny
843,0,mean pas psycho test first course
844,1,good straight forward looking something light hearted fun mostly physical let know something like
845,0,aha sad date
846,1,bigger one inch doubt
847,1,end touching
848,0,good beat lyric worst
849,0,anyway try gravy anything
850,1,disgusted trump disgusted said fuck trump
851,0,yeah hilarious weird lol
852,1,cuddle movie go
853,1,yummy vagina
854,0,todo bien grazias que haces
855,0,az
856,0,right
857,0,nothing much today work relax
858,1,u phone sex
859,1,pin wall holding arm head kissing side neck starting back right behind ear
860,0,okay baby
861,1,seems naughty mean send nude
862,0,oh yes nothing say attractive partner like calling woman loser
863,0,mean friend
864,1,flip back nice wet
865,0,like spare time
866,1,want get rod stuck as
867,1,ncmo
868,0,sorry
869,0,gif 5bwveebjsab4uzazsz gif mutual support gifs please update newest version mutual http media2 giphy com medium 5bwveebjsab4uzazsz 200w gif cid cecbee372815219c7e492f027d52b2b6520d10516590ced9 rid 200w gif
870,0,flipping
871,0,sure
872,1,haha never read remember picking one library thumbing seemed lot fluff surrounding sex scene
873,0,inconsiderate
874,0,motorway
875,0,yes
876,1,well little horny
877,1,seems little racist
878,0,added
879,0,dem
880,1,hey roughly height mean thing line bending stretch course
881,1,give neck kiss would bring side e never seen lick ear lick mine back
882,1,oh funny honest injun read as
883,1,vc quer fazer um video comigo
884,0,need serious man really want commitment serious relationship tired alone woman looking
885,0,haha
886,0,forgive forget
887,1,hi washing machine cause wanna put load
888,0,ooooo love family friend going adventure game night going movie stuff like
889,0,available may 9
890,0,cool
891,1,rape willing
892,1,actually change beware freak
893,0,sad
894,0,fun homework shower relax
895,0,sim amanhã ainda teremos por vídeo
896,0,look people seem kind honest
897,0,chatting enjoying weekend right away
898,1,may even feel something grow beneath
899,1,maybe one photo sexual haha
900,1,stroking cock thinking eye
901,1,must go long process happy get priority dirty brown people though
902,0,text phone
903,0,gif 6mrscasvh5xq8 gif mutual support gifs please update newest version mutual http media1 giphy com medium 6mrscasvh5xq8 200w gif cid cecbee37de60fc7bd01811c65cec61e3a911f487034a1201 rid 200w gif
904,0,yeah make sense
905,0,say
906,1,lol wanna kiss neck haha
907,1,kinky basic
908,1,racist sexist dickery
909,0,hahaha sound nice
910,1,good bye bitch
911,0,say make dirty
912,1,may grown already thinking
913,1,solo pregunto porque la mayoría de la veces cuando veo parejas de diferentes edades e por razones sexuales
914,0,uuhhhhh
915,0,plan
916,0,really
917,0,bro
918,0,serve mission
919,0,im good tou
920,1,yeah start giving cock soft kiss teasing encouraging
921,0,give u attention want need
922,1,im hook like thing moving car kinda really suck
923,0,never got negative
924,0,avril lagvine lady gaga nickel back
925,1,every girl saw eggplant
926,1,enjoy kissing
927,0,encargó
928,0,happy u
929,0,charity fundraising
